Text,Class
ಹೋಟೆಲ್ ಕಳಪೆಯಾಗಿ ನಿರ್ವಹಿಸಲ್ಪಟ್ಟಿದೆ,0
ಅವರು ಕೆಟ್ಟ ಸೇವೆಯನ್ನು ನೀಡಿದರು,0
ಕ್ಯಾಬ್‌ನ ಒಳಭಾಗವನ್ನು ಸರಿಯಾಗಿ ನಿರ್ವಹಿಸಲಾಗಿಲ್ಲ,0
ಕ್ಯಾಬ್ ಒಳಭಾಗ ಕೊಳಕು,0
ನಾವು ಅಗ್ಗದ ವಿಮಾನವನ್ನು ಬುಕ್ ಮಾಡಬಹುದಿತ್ತು,0
ಹೋಟೆಲ್ ಇರುವ ಸ್ಥಳ ಚೆನ್ನಾಗಿರಲಿಲ್ಲ,0
ಶಿಟ್ ಗೆಳೆಯಾ... ನನ್ನ ವಿಮಾನ ತಡವಾಯಿತು,0
ಕ್ಯಾಬ್ ಡ್ರೈವರ್ ನನ್ನನ್ನು ತಪ್ಪಾದ ಸ್ಥಳಕ್ಕೆ ಕರೆದೊಯ್ದನು,0
ಘಟನೆ ನನ್ನ ಮನಸ್ಥಿತಿಯನ್ನು ಹಾಳು ಮಾಡಿತು,0
ನಾವು ಈ ಬಾರಿ ಮೋಜು ಮಾಡಲಿಲ್ಲ,0
ಅವನು ನನಗೆ ತೊಂದರೆ ಕೊಡುತ್ತಿದ್ದಾನೆ,0
ತರಗತಿ ಪರೀಕ್ಷೆಯನ್ನು ಪೂರ್ವಭಾವಿಯಾಗಿ ನಡೆಸಲಾಯಿತು,0
ಇಂದಿನ ಹವಾಮಾನ ಕೆಟ್ಟದಾಗಿದೆ,0
ನಾನು ಸಿಟ್ಟಾಗಿದ್ದೇನೆ,0
ಅವಳು ಸಿಟ್ಟಾಗಿದ್ದಾಳೆ,0
ಅವನು ಮೂಕ,0
ಅವನು ನಿಜವಾಗಿಯೂ ಕೋಪಗೊಂಡಿದ್ದಾನೆ,0
ಅವರು ತುಂಬಾ ಕೆಟ್ಟ ಜನರು,0
ಅವನು ನನ್ನ ಮೇಲೆ ಕೋಪಗೊಂಡಿದ್ದಾನೆ,0
ಅವರ ಸೇವೆ ತುಂಬಾ ಕೆಟ್ಟದಾಗಿತ್ತು,0
ಅವಳು ನನ್ನ ಮೇಲೆ ಕೋಪಗೊಂಡಿದ್ದಾಳೆ,0
ಸಿಬ್ಬಂದಿ ಅಸಭ್ಯವಾಗಿ ವರ್ತಿಸಿದರು,0
ಈ ಬಾರಿ ಟಿಕೆಟ್‌ಗಳು ದುಬಾರಿಯಾಗಿದೆ,0
ನನ್ನ ಬಾಸ್ ನನಗೆ ಅವಕಾಶ ನೀಡುವುದಿಲ್ಲ,0
ಅಪ್ಲಿಕೇಶನ್ ಯಾವುದೇ ಸಹಾಯಕವಾಗಿರಲಿಲ್ಲ,0
ಅವನು ಅವಳ ಮೇಲೆ ಕೋಪಗೊಂಡಿದ್ದಾನೆ,0
ಸಿಬ್ಬಂದಿ ಯಾವುದೇ ಪ್ರಯೋಜನವಾಗಲಿಲ್ಲ,0
ಹಲವು ಬಾರಿ ವಿದ್ಯುತ್ ಸಂಪರ್ಕ ಕಡಿತಗೊಂಡಿದೆ,0
ನಾನು ಅದನ್ನು ಖರೀದಿಸಿದ ನಂತರ ಉತ್ಪನ್ನವು ಅಸಮರ್ಪಕವಾಗಿ ಕಾರ್ಯನಿರ್ವಹಿಸಿತು,0
ರೆಸ್ಟೋರೆಂಟ್‌ನಲ್ಲಿ ತುಂಬಾ ಕೆಟ್ಟ ಅನುಭವವಾಯಿತು,0
ಈ ಅಪ್ಲಿಕೇಶನ್ ಉತ್ತಮವಾಗಿ ಕಾರ್ಯನಿರ್ವಹಿಸಬಹುದಿತ್ತು,0
ಪ್ರಸ್ತುತಿ ತುಂಬಾ ಕೆಟ್ಟದಾಗಿತ್ತು,0
ತಂಡವು ನಮ್ಮನ್ನು ನಿರಾಸೆಗೊಳಿಸಿತು,0
